Team_ID,Composition,Avg_Payoff_vs_Uniform,Win_Rate_vs_Uniform
2,"Ant, Ant, Cricket",0.9448120714010684,0.9724060357005342
245,"Fish, Ant, Cricket",0.9225102880387084,0.9612551440193542
3,"Ant, Ant, Fish",0.8927668037304373,0.9463834018652186
30,"Ant, Fish, Fish",0.8597860078931627,0.9298930039465814
246,"Fish, Ant, Fish",0.8578683128190798,0.9289341564095399
29,"Ant, Fish, Cricket",0.8561138543996584,0.9280569271998291
7,"Ant, Ant, Otter",0.8465267489455056,0.9232633744727528
5,"Ant, Ant, Mosquito",0.8401001371674501,0.9200500685837251
407,"Mosquito, Ant, Cricket",0.8359725656542305,0.9179862828271153
273,"Fish, Fish, Fish",0.8275349794443697,0.9137674897221848
32,"Ant, Fish, Mosquito",0.8243676269783371,0.9121838134891685
47,"Ant, Mosquito, Cricket",0.8204938273007221,0.910246913650361
48,"Ant, Mosquito, Fish",0.8155061730694033,0.9077530865347017
248,"Fish, Ant, Mosquito",0.8063100139036853,0.9031550069518426
83,"Beaver, Ant, Cricket",0.79255418411861,0.8962770920593051
50,"Ant, Mosquito, Mosquito",0.7924897121284692,0.8962448560642347
275,"Fish, Fish, Mosquito",0.7901838136054714,0.8950919068027356
408,"Mosquito, Ant, Fish",0.7878010973854266,0.8939005486927133
272,"Fish, Fish, Cricket",0.786486968704702,0.893243484352351
20,"Ant, Cricket, Cricket",0.7790603567014123,0.8895301783507061
